wavelength,transmission_u,transmission_g,transmission_r,transmission_i,transmission_z,transmission_q
190.0,0.022065492,-0.00020824,-6.57e-05,-5.93e-05,-0.208465293,-0.021961682
190.5,-0.040836297,-0.000229795,-0.000128146,0.000297146,0.016704373,0.06408935
191.0,0.047472138,0.000122064,-0.000334744,0.000183455,0.001144452,0.039492592
191.5,0.000449295,-0.000136758,-5.11e-05,-3.03e-07,-0.003410904,0.015616598
192.0,-0.000129559,6.75e-06,0.000103753,-4.44e-05,0.000749294,-0.00093197
192.5,0.000944455,-3.39e-05,0.000139543,5.98e-05,-0.001262653,-0.001218134
193.0,-2.92e-05,-3.49e-05,8.64e-05,0.000103565,-0.000770397,0.000771643
193.5,0.000445177,0.000122323,0.000112804,4.8e-05,-1.87e-05,-9.06e-05
194.0,0.000418339,2.87e-05,3.89e-05,-6.62e-05,0.000595401,0.000280856
194.5,-0.000379137,5.99e-05,-8.93e-06,-8.05e-05,0.000301909,6.13e-05
195.0,-0.000126717,8.09e-05,-1.13e-05,-2.9e-05,3.25e-05,9.34e-06
195.5,-0.000122786,2.17e-05,-6.04e-05,-1.52e-05,0.00043812,-6.58e-05
196.0,-5.29e-05,9.43e-05,-4.54e-06,2.71e-05,-0.000158923,-0.000485939
196.5,0.000517231,6.9e-05,2.02e-05,2.21e-05,2.16e-05,-2.01e-07
197.0,-9.3e-05,2.45e-05,7.71e-06,-1.24e-05,-0.00025262,-0.000237423
197.5,0.000145076,5.12e-06,5.95e-05,9.05e-06,0.000124651,4.43e-05
198.0,0.000403556,3.06e-05,2.77e-05,-1.15e-05,-4.69e-05,0.00011521
198.5,-1.51e-05,6.99e-05,-5.99e-06,-4.38e-06,-0.000418954,-0.00031968
199.0,0.000403849,2.9e-05,-3.41e-05,9.39e-07,-1.97e-06,-6.72e-05
199.5,0.000187715,2.91e-05,-3.54e-05,-2.21e-06,-0.000142065,0.000173359
200.0,-0.000165843,4.26e-05,-1.5e-06,-1.07e-05,-1.22e-05,0.000135385
200.5,0.000121881,5.37e-05,-1.09e-05,2.03e-05,0.000375934,-8.07e-05
201.0,-5.07e-05,5.11e-05,-1.63e-06,-4.07e-05,0.000108939,-5.94e-05
201.5,-0.000112791,1.65e-05,1.54e-05,1.32e-05,7.69e-05,-5.56e-06
202.0,-7.12e-05,3.31e-06,1.78e-05,8.42e-06,0.000235171,0.000108882
202.5,-0.000135162,2.71e-05,3.3e-05,5.86e-06,0.000232052,0.000175703
203.0,0.000122897,1.56e-05,2.23e-05,1.66e-05,1.08e-05,0.000209286
203.5,-0.000104444,7.1e-05,1.44e-05,4.32e-05,-0.000204798,0.00024915
204.0,0.000124203,4.99e-05,-1.32e-05,-5.37e-06,-0.000159729,9.92e-05
204.5,9.96e-05,3.17e-05,-2.5e-05,-3.72e-05,0.00014472,8.15e-05
205.0,-1.16e-05,5.75e-05,-1.68e-05,-6.31e-06,-0.000261775,-3.84e-05
205.5,-2.77e-05,3.83e-05,1.96e-05,2.47e-06,-3.41e-05,-5.08e-05
206.0,0.00017835,1.62e-05,-1.49e-05,-9.63e-06,3.1e-05,9.61e-05
206.5,0.000116876,4.48e-05,4.23e-05,2.3e-05,0.000255311,0.000153548
207.0,-2.95e-06,8.63e-06,2.84e-05,1.12e-05,0.000176139,1.46e-05
207.5,7.8e-05,8.06e-06,8.67e-06,1.74e-05,-2.97e-05,-0.000153632
208.0,1.67e-05,4.02e-05,1.88e-05,-2.95e-05,6.83e-05,-9.94e-06
208.5,4.28e-05,2.35e-05,-3.15e-05,-8.79e-06,5.59e-05,-7.01e-05
209.0,5.53e-05,2.34e-05,-1.82e-05,-6.34e-06,-0.000234376,-9.21e-06
209.5,0.000129975,9.39e-06,-1.67e-05,-3.41e-05,-8.51e-05,-5.37e-05
210.0,1.47e-05,4.8e-05,-6.34e-06,-1.76e-05,-8.75e-06,-2.81e-05
210.5,8.36e-05,2.82e-05,-1.34e-06,3.56e-07,6.78e-05,4.28e-05
211.0,7.49e-05,1.98e-05,2.91e-06,-1.26e-05,-1.59e-05,6.26e-05
